fecha,region,producto,categoria,cantidad,precio_unitario,vendedor,venta_total,mes,dia_semana
2024-02-28,Este,Monitor,Accesorios,8,300,Luis,2400,February,Wednesday
2024-02-29,Norte,Teclado,Accesorios,2,300,María,600,February,Thursday
2024-03-01,Este,Celular,Electrónica,6,800,Sofía,4800,March,Friday
2024-03-02,Este,Laptop,Electrónica,7,300,Luis,2100,March,Saturday
2024-03-03,Norte,Monitor,Accesorios,2,500,Sofía,1000,March,Sunday
2024-03-04,Norte,Teclado,Computación,2,50,Ana,100,March,Monday
2024-03-05,Este,Monitor,Electrónica,1,50,Sofía,50,March,Tuesday
2024-03-06,Sur,Teclado,Accesorios,8,150,Sofía,1200,March,Wednesday
2024-03-07,Oeste,Teclado,Electrónica,1,300,Carlos,300,March,Thursday
2024-03-08,Norte,Celular,Electrónica,9,500,Carlos,4500,March,Friday
2024-03-09,Oeste,Teclado,Computación,6,150,Carlos,900,March,Saturday
2024-03-10,Sur,Monitor,Accesorios,7,800,Sofía,5600,March,Sunday
2024-03-11,Sur,Teclado,Accesorios,7,150,María,1050,March,Monday
2024-03-12,Sur,Celular,Computación,3,150,Sofía,450,March,Tuesday
2024-03-13,Norte,Celular,Computación,2,300,María,600,March,Wednesday
2024-03-14,Sur,Monitor,Accesorios,9,800,María,7200,March,Thursday
2024-03-15,Norte,Tablet,Accesorios,8,150,Carlos,1200,March,Friday
2024-03-16,Sur,Tablet,Computación,7,500,Luis,3500,March,Saturday
2024-03-17,Oeste,Teclado,Electrónica,9,500,Ana,4500,March,Sunday
2024-03-18,Oeste,Laptop,Electrónica,4,50,Carlos,200,March,Monday
2024-03-19,Este,Teclado,Computación,4,800,Carlos,3200,March,Tuesday
2024-03-20,Oeste,Monitor,Electrónica,1,800,Luis,800,March,Wednesday
2024-03-21,Este,Monitor,Computación,8,50,Ana,400,March,Thursday
2024-03-22,Oeste,Monitor,Electrónica,3,150,Sofía,450,March,Friday
2024-03-23,Norte,Monitor,Electrónica,7,800,Sofía,5600,March,Saturday
2024-03-24,Oeste,Monitor,Accesorios,2,500,Carlos,1000,March,Sunday
2024-03-25,Este,Celular,Accesorios,2,500,Ana,1000,March,Monday
2024-03-26,Este,Tablet,Electrónica,7,300,Carlos,2100,March,Tuesday
2024-03-27,Sur,Monitor,Electrónica,6,800,María,4800,March,Wednesday
2024-03-28,Norte,Laptop,Accesorios,3,150,Carlos,450,March,Thursday
2024-03-29,Oeste,Laptop,Accesorios,9,50,Carlos,450,March,Friday
2024-03-30,Sur,Laptop,Accesorios,6,50,Sofía,300,March,Saturday
2024-03-31,Oeste,Laptop,Computación,6,150,Sofía,900,March,Sunday
2024-04-01,Oeste,Celular,Electrónica,1,300,Sofía,300,April,Monday
2024-04-02,Sur,Laptop,Accesorios,4,50,María,200,April,Tuesday
2024-04-03,Sur,Monitor,Electrónica,6,800,Sofía,4800,April,Wednesday
2024-04-04,Sur,Teclado,Computación,6,300,Ana,1800,April,Thursday
2024-04-05,Sur,Laptop,Computación,5,800,Luis,4000,April,Friday
2024-04-06,Sur,Celular,Accesorios,1,500,Ana,500,April,Saturday
2024-04-07,Oeste,Celular,Computación,8,300,Ana,2400,April,Sunday
2024-04-08,Sur,Laptop,Electrónica,5,50,Sofía,250,April,Monday
2024-04-09,Norte,Teclado,Accesorios,5,300,Luis,1500,April,Tuesday
