id_reproduccion,nombre_cancion,año_reproduccion,mes_reproduccion,num_reproducciones,num_likes
f674e659-d324-4f6d-b8e9-e4090e4d3d8c,The Door - Teddy Swims,2021,Junio,22169,3989
a60b8fd2-0e2d-4cfb-9be1-c5044c5774a6,TEXAS HOLD 'EM - Beyoncé,2023,Enero,32798,903
1d04748d-b0c0-4e93-8eb1-f056ca651826,Beautiful Things - Benson Boone,2020,Febrero,37056,3988
acce3853-5f81-4d63-ad47-8c0caa39c777,Beautiful Things - Benson Boone,2016,Agosto,37796,6113
a53652a4-3687-4732-9f1c-938e31b43bd2,Efecto,2015,Noviembre,80911,6922
9400c54b-4cdf-4017-969d-b66eee423381,"Stay - The Kid LAROI, Justin Bieber",2020,Junio,25742,1675
c60e3e04-381e-44c2-97ae-8974c2c90bed,Charmer,2022,Agosto,21973,1863
db058eb5-a058-4c95-a57b-3b996d87a479,Christmas EveL,2015,Agosto,96085,18240
e686e421-99a0-4408-9426-0cc63404aeb8,Fortnight - Taylor Swift ft. Post Malone,2015,Marzo,440541,34150
d5223c58-c2f9-4594-bd72-a2795db13483,"So Long, London - Taylor Swift",2016,Mayo,4135,489
2a97a5c1-32d2-4144-ac58-95f6a8876adc,Lose Control - Teddy Swims,2019,Abril,230508,18377
60a049f8-1e8c-4f52-b245-b07403f6a5cd,Checkmate,2017,Noviembre,90949,17888
0db60e4d-d353-4d8d-b49d-866981a1c8d7,The Black Dog - Taylor Swift,2022,Junio,931249,99477
eb00b94f-4a53-4b29-aa4a-87f912b3e6db,Beat It,2019,Enero,27480,546
26d49f6f-661e-4370-b64f-36807a7765b5,Safaera,2022,Julio,5602,389
a8cdf28f-6488-4e82-80fd-406acca70096,Not Like Us - Kendrick Lamar,2023,Octubre,748254,74559
039121f7-6640-41a0-8cca-3be20644d8ca,Checkmate,2015,Septiembre,379,69
7a562206-b2d2-4868-89ca-b1cf920509f0,Chloe or Sam or Sophia or Marcus - Taylor Swift,2015,Julio,932918,138813
2f2c95e9-dcb6-49ea-9474-a7e6ece11074,The Cut That Always Bleeds,2017,Agosto,4163,566
2a796404-6ae4-4ebf-a73c-d43028e15e26,Fortnight - Taylor Swift ft. Post Malone,2018,Julio,9205,628
e370e2d0-7b49-44d5-8089-38fb4d1ce2fa,Blinding Lights - The Weeknd,2018,Octubre,4808,654
a68d7491-5e0e-494e-b934-a9f775420615,Callaita,2019,Julio,611281,86822
bbfb589b-a692-4f36-b43d-1faabc36e914,Fortnight - Taylor Swift ft. Post Malone,2019,Diciembre,97570,13125
7453071b-4c37-40cc-9df6-518b9a80d8a2,"Popular - The Weeknd, Madonna, Playboi Carti",2019,Febrero,89402,13301
3daa46ab-7ff1-4803-b0c2-b0894746c89a,The Black Dog - Taylor Swift,2017,Septiembre,4643,295
d22b59fb-c8af-4c37-a748-8a7de52b4bcb,So High School - Taylor Swift,2017,Noviembre,4505,89
8b87067a-b173-4ef3-9935-87b6f4650f7e,Birds of a Feather - Billie Eilish,2021,Octubre,7411,509
99bbab2d-534b-4b99-a7f4-76d33c690484,"I'm Good (Blue) - David Guetta, Bebe Rexha",2018,Abril,65597,8853
d313f821-74dd-44b1-bf81-eaa51f3bb88b,I Look in People's Windows - Taylor Swift,2024,Agosto,22397,1905
2b8c594d-e613-4284-b981-4a48c3431c5b,The Bolter - Taylor Swift,2022,Noviembre,7548,99
eebf9c22-30d8-4bc7-b5ab-4cbd353d1679,Seven - Jungkook ft. Latto,2015,Junio,28165,1123
69f7d14a-f69b-40ba-beb9-6c4a79504486,The Black Dog - Taylor Swift,2021,Septiembre,91674,9445
8412c4e1-2db7-49b3-b577-f7b81575bbcd,Billie Jean,2022,Agosto,78792,12461
09107bdf-a719-4ab1-8fd3-e1dd86693c39,Thriller,2021,Agosto,181574,26475
defaf74a-d006-4f75-a47e-e410b667ea33,Birds of a Feather - Billie Eilish,2020,Julio,500535,84836
f38b0c3c-9bdc-44af-a5dc-717330c14fde,Charmer,2020,Noviembre,613963,105547
c474b307-2791-479e-94a2-4010b20cfee6,What Was I Made For? - Billie Eilish,2015,Junio,66045,6633
3f695b32-f1d6-44b7-aa70-498b63c45609,Chloe or Sam or Sophia or Marcus - Taylor Swift,2015,Diciembre,9952,800
b916ac1f-4b48-429f-bafe-95f3e6362f11,Saturn - SZA,2015,Septiembre,4924,730
d97b7215-8ab9-4c4e-ab33-4fca1b59b172,Maniac,2022,Enero,15635,1740
d728fdc8-7ac7-4097-8754-adb0ffbdb82a,Houdini - Dua Lipa,2020,Julio,13692,1640
32fc55f7-a9cc-44ae-a54e-7c3ed91d8384,Callaita,2023,Septiembre,245,7
c5292e7f-0622-41c2-bf25-87d1488555b6,Blinding Lights - The Weeknd,2023,Noviembre,14257,1676
77c2a303-7784-4e5b-afff-a6fed2e6a809,Please Please Please - Sabrina Carpenter,2021,Febrero,22982,3618
9590bf5f-bf2d-4bd1-b3d7-e9763e322f48,"Popular - The Weeknd, Madonna, Playboi Carti",2015,Julio,50986,8889
e6999c1e-7309-4329-9ade-59ed744e702e,Black or White,2015,Octubre,78296,3741
084d5ebf-4657-4940-bf05-fb6ee4e8ec31,Black or White,2018,Septiembre,5666,783
91b22f82-1661-4424-9d77-99c2fd282476,God's Menu,2024,Octubre,945598,113722
92f8ad71-eb60-43be-ba58-cc8807ffaa6d,The Prophecy - Taylor Swift,2020,Marzo,560971,26123
3bba403a-116a-46af-a718-a3f8b9553b95,Fast Car - Luke Combs,2022,Octubre,61929,9585
dd333ca0-f7f6-44ad-a3dc-4c9d894abb55,Peter - Taylor Swift,2019,Junio,166910,11050
71546105-bff1-4a8a-80d8-a554a308dbcf,Dance The Night - Dua Lipa,2023,Julio,891828,91267
50cc86d0-48fa-4fbc-a134-a399002059ff,Checkmate,2024,Abril,86074,15764
62e95459-c2f8-4eb7-89e8-32253a907880,I Can Do It With A Broken Heart - Taylor Swift,2015,Agosto,953931,120354
689b4220-c604-4de9-bbdb-e1f9cdd0a3fc,Domino,2016,Agosto,689439,57581
5c964fee-945a-4aaf-be3e-60063ac8fddb,Bad Guy - Billie Eilish,2015,Octubre,561794,11491
d6ade0a7-612a-4675-9be9-d2991a8a90d7,Clara Bow - Taylor Swift,2021,Julio,6357,269
ad74b8ff-3386-4c0f-b96e-17e811467efe,Saturn - SZA,2016,Junio,42370,1844
56cc9bc8-b0f1-4078-aa2a-30cf034a27f1,The Alchemy - Taylor Swift,2024,Noviembre,2244,180
09228bf8-405e-4db7-97ee-b497009c9b0f,"Stay - The Kid LAROI, Justin Bieber",2020,Enero,73057,12412
299d7de8-24c6-452e-a006-1ab466836a47,Lovin On Me - Jack Harlow,2017,Marzo,180949,8309
79673507-5be5-4faf-a512-f272449b6875,Safaera,2018,Diciembre,607,40
a9882998-d492-4369-a4e5-2d316d93aec4,Case 143,2020,Marzo,540574,104819
40637863-7ec3-4db8-ad3c-3194de7cf381,"Die With A Smile - Lady Gaga, Bruno Mars",2020,Mayo,9121,188
1bd274fa-1d15-4028-93b5-3cd00d574e40,Fast Car - Luke Combs,2017,Abril,85274,4231
